TaskID	Estimate_label
3FHTJGYT8O3UOD4PWT98LA31EHDPG3	fear
3H5TOKO3DAM62RT0MW8Y6LFHT7F46Q	surprise
306996CF6XNVG4DCV564J3U6VOG1BV	surprise
3PEG1BH7AFUXM5ZY3FCMOIQ54UFKBG	neutral
3PMR2DOWOP4AJNTMHDYTEF1HXC445A	disgust
3G4VVJO6P0JZQZ08MKUNJ2VULYUPK6	surprise
32ZCLEW0B0N4FFUQ4ZUBINVH69UPJ7	neutral
3Y3N5A7N4HCOP1SCYJ3MB6GAE8SMY2	sad
3B9J25CZ26GEKT4CMOHJQONX39SSCC	happy
3XU80RHWH0JSN4PM38FJ9NV3XG9445	sad
372AGES0I58QMCFUYVD1ER3BIPXXRV	sad
37Y5RYYI0Q82NRF7DKD641874RGXSJ	neutral
3LCXHSGDLU9THROQIFNEGCN0OL5SE5	happy
30EMX9PEVLMW3RG0E1YHE7058I1SKP	happy
37VUR2VJ6BSEQ95I952ZUN0OD9G1C2	angry
3FTID4TN8M14JJARY727BT1LE32YLC	happy
3HO4MYYR13R5JPNF12ZGJPDBSK36UF	happy
3M93N4X8HLQ1S7AIWGY5DS0STT1SJQ	neutral
3E22YV8GG290Y5LBJXM3BUCYFTZPNB	disgust
3S8A4GJRD465W4CF6S9LFBFU6RC6V4	happy
3YLTXLH3DG98O9Z0GZRQ6AF2THQPH2	sad
35XW21VSVHH7NXYIZ1AIT7DKXI6SLS	neutral
307FVKVSYSIP6R7556DQCZFDOIZ47P	sad
3MDKGGG61RQQJC8Q1X96ETR996W6TO	sad
3HY86PZXPZLTN7PW5W8UKB0RYLT1EV	sad
3WGCNLZJKGBOV1BW91XAETI6Y9S1D2	disgust
3PGQRAZX03NRNW5HIGZ8NFFG6XAYSQ	sad
3CESM1J3EJ6IBTCKW2EH1DY8D0E6WE	happy
3HEM8MA6HAFL12Y3ZPEKFO73K4MPQY	neutral
3Z33IC0JC1PSENED4ZCXZL6WWSJV93	fear
338GLSUI44ELN5OMDQ7KYU800MKSFN	sad
3R6RZGK0XGF7FOMLCB4DY2ZN514YVV	happy
334ZEL5JX7IFTI1FCTQALOHESNBSO9	disgust
3B0MCRZMBSX01QXOZCZVFJHTF80PP7	sad
3GL25Y6844XZPW22TNHKSS91C2YMXW	surprise
3UY4PIS8QSOXHD29YVBDAYU0CDTN15	sad
3ZURAPD289QLTLPS07S02TLRAM81FD	happy
38XPGNCKHU3RHH81N4G6IDVGA05V47	sad
3Y40HMYLL2LI247B2P86J2QVPO1XUZ	neutral
36AZSFEYZ53B2GTA2JQTQR1MKSMVBD	angry
3DZKABX2ZJ8UCLLGGJMO1B742DMVCK	sad
388FBO7JZSWU7JDCAKIMOL5AJY2YNE	sad
32K26U12DOR4HDRUGFHZLHPMNDYVDK	surprise
3O0M2G5VC75TKAVYK3BAQV6JJ8N491	neutral
32TZXEA1OMNBV5S3GQWHBPO0LWZ41S	sad
3GITHABACZO46YK5HZBRFH454J7N2M	angry
3BC9H1KCYVFKUDMQ2L99K4I1CA6YW5	surprise
3VEI3XUCZS0LD3D3C43KKEH8GQOPRZ	happy
3ZCC2DXSD87OJIHQHMRX513HNI6YY4	sad
3O2Y2UIUCRXNZMBE8HYI78HQJS7KFY	sad
3PZDSVZ3J6KE9CZSLDUF8W13OX3N4I	sad
3MG8450X2PDDTV5KGYYPPP4SNPSPU3	neutral
307L9TDWJZVTRGGOLZPWYR9XAX7N3X	happy
3D0LPO3EAC2CP4DOBZIZ3A5F987YOT	angry
3FK4G712NY3URAT8JA7J5TRFPCESS6	disgust
3X0EMNLXEQSD6AUKLO8ULB6B1W1PVS	angry
3ZRKL6Z1E96R15KHOAD2GF8C11KSGM	fear
3V0TR1NRVB57PT53C9PAMQH3PQ54AG	happy
3HRWUH63QV5W5V3SZIDPDO7HOTYN5N	sad
39AYGO6AFGNSOZ3641NU5ULHKO9N63	happy
3KL228NDMWPTDM79J140PTH2K77KGX	neutral
30OITAWPBR6NWMJTZAVTKKFNOD99HS	sad
3NOEP8XAU555AZZFL39C9W3WH79PXV	neutral
34OWYT6U3XKNSHUD5SDEKWG2OQO9IL	sad
382GHPVPHTU7586I3UA0ZI3XJGD43K	surprise
33N1S8XHHNORY2GS1JM75L19MR1Z1Y	happy
3ZFRE2BDQAHZO31L8C7E0U5AR6GXZO	sad
30EV7DWJTWYM0Y7KB3W5MAJOO8E6YD	angry
3MVY4USGB7Q5XWQCEYD51RLSGECSIE	sad
36KM3FWE3SF873P4M5QO0WP076J70C	sad
3IZVJEBJ6BNM5OHP7PYO0HSQU2I6Z4	neutral
3RHLQY6EDU75N08FWJGCCRP9AT24DI	sad
3NRZ1LDP7X9UFUZUMLXX6HJ7P77PZS	surprise
3PKVGQTFIINFMH543RZ3X5AKKVRYR2	neutral
3IH9TRB0FC253CRI1FYL5QYJQE01I4	sad
3IVEC1GSLQ21YNBOJXJLHRDJ3TP1JG	happy
3T2HW4QDUWAWFE8DDIHS9TI7BL4C9M	sad
3QMELQS6Y6ED3XVYX84BEEQRLLZ6RB	sad
3YO4AH2FPENIDLUJI4ZU0N6VCWAQ0S	sad
3L21G7IH48ZRTC6N5XKORES7GXXY16	neutral
