HITId	WorkerId	Answer.category.label
3FHTJGYT8O3UOD4PWT98LA31EHDPG3	A1P5FJPAEO3RP7	surprise
3FHTJGYT8O3UOD4PWT98LA31EHDPG3	A1JVUD5XUB9H48	fear
3FHTJGYT8O3UOD4PWT98LA31EHDPG3	A39HQTITNY9TVJ	disgust
3H5TOKO3DAM62RT0MW8Y6LFHT7F46Q	AE03LUY7RH400	happy
3H5TOKO3DAM62RT0MW8Y6LFHT7F46Q	A3P2O37EDC1H9V	surprise
3H5TOKO3DAM62RT0MW8Y6LFHT7F46Q	A2RV6QX6SN4YIC	surprise
306996CF6XNVG4DCV564J3U6VOG1BV	A24A69YAB0UI36	sad
306996CF6XNVG4DCV564J3U6VOG1BV	A1T02KY1E9YI3I	surprise
306996CF6XNVG4DCV564J3U6VOG1BV	A2P8VR6J0Q7GXS	surprise
3PEG1BH7AFUXM5ZY3FCMOIQ54UFKBG	A1JVUD5XUB9H48	neutral
3PEG1BH7AFUXM5ZY3FCMOIQ54UFKBG	AYY9WMJIAPYQT	neutral
3PEG1BH7AFUXM5ZY3FCMOIQ54UFKBG	A24A69YAB0UI36	disgust
3PMR2DOWOP4AJNTMHDYTEF1HXC445A	A24A69YAB0UI36	sad
3PMR2DOWOP4AJNTMHDYTEF1HXC445A	AA7BTDZQNHW5	disgust
3PMR2DOWOP4AJNTMHDYTEF1HXC445A	A16GH5GPKBX5GA	sad
3G4VVJO6P0JZQZ08MKUNJ2VULYUPK6	AE03LUY7RH400	surprise
3G4VVJO6P0JZQZ08MKUNJ2VULYUPK6	AISFU4P55HYEH	surprise
3G4VVJO6P0JZQZ08MKUNJ2VULYUPK6	A1QR2AQ7I9R950	surprise
32ZCLEW0B0N4FFUQ4ZUBINVH69UPJ7	A3T5UAYFKJBVTA	surprise
32ZCLEW0B0N4FFUQ4ZUBINVH69UPJ7	A24A69YAB0UI36	neutral
32ZCLEW0B0N4FFUQ4ZUBINVH69UPJ7	A1P5FJPAEO3RP7	neutral
3Y3N5A7N4HCOP1SCYJ3MB6GAE8SMY2	A1HTXEKQWZ2BIL	surprise
3Y3N5A7N4HCOP1SCYJ3MB6GAE8SMY2	A2RV6QX6SN4YIC	sad
3Y3N5A7N4HCOP1SCYJ3MB6GAE8SMY2	A30ENTLELXJH32	sad
3B9J25CZ26GEKT4CMOHJQONX39SSCC	A2LJUWMRB0FGWS	neutral
3B9J25CZ26GEKT4CMOHJQONX39SSCC	AA7BTDZQNHW5	neutral
3B9J25CZ26GEKT4CMOHJQONX39SSCC	A1G0W1P43RTBKK	happy
3XU80RHWH0JSN4PM38FJ9NV3XG9445	AYY9WMJIAPYQT	sad
3XU80RHWH0JSN4PM38FJ9NV3XG9445	A2P8VR6J0Q7GXS	happy
3XU80RHWH0JSN4PM38FJ9NV3XG9445	APEB5ERGCYP6D	neutral
372AGES0I58QMCFUYVD1ER3BIPXXRV	A1T02KY1E9YI3I	sad
372AGES0I58QMCFUYVD1ER3BIPXXRV	A26OPH28YZPNP3	sad
372AGES0I58QMCFUYVD1ER3BIPXXRV	A16GH5GPKBX5GA	surprise
37Y5RYYI0Q82NRF7DKD641874RGXSJ	A681XM15AN28F	sad
37Y5RYYI0Q82NRF7DKD641874RGXSJ	A3PK95JULG0QGW	neutral
37Y5RYYI0Q82NRF7DKD641874RGXSJ	A2LHJN7Y7A7J2F	happy
3LCXHSGDLU9THROQIFNEGCN0OL5SE5	A3PK95JULG0QGW	happy
3LCXHSGDLU9THROQIFNEGCN0OL5SE5	A4Y8HWKCF1U6G	happy
3LCXHSGDLU9THROQIFNEGCN0OL5SE5	A39HQTITNY9TVJ	happy
30EMX9PEVLMW3RG0E1YHE7058I1SKP	A16GH5GPKBX5GA	happy
30EMX9PEVLMW3RG0E1YHE7058I1SKP	A1JVUD5XUB9H48	happy
30EMX9PEVLMW3RG0E1YHE7058I1SKP	AE03LUY7RH400	happy
37VUR2VJ6BSEQ95I952ZUN0OD9G1C2	A12VDN3TJJCAQQ	angry
37VUR2VJ6BSEQ95I952ZUN0OD9G1C2	A2QCMRCU1HVE7P	angry
37VUR2VJ6BSEQ95I952ZUN0OD9G1C2	A30VOAZX8XTNGW	angry
3FTID4TN8M14JJARY727BT1LE32YLC	A681XM15AN28F	happy
3FTID4TN8M14JJARY727BT1LE32YLC	A2JAMNGL6SDAHQ	happy
3FTID4TN8M14JJARY727BT1LE32YLC	A1HTXEKQWZ2BIL	happy
3HO4MYYR13R5JPNF12ZGJPDBSK36UF	A39HQTITNY9TVJ	happy
3HO4MYYR13R5JPNF12ZGJPDBSK36UF	AE03LUY7RH400	happy
3HO4MYYR13R5JPNF12ZGJPDBSK36UF	APEB5ERGCYP6D	happy
3M93N4X8HLQ1S7AIWGY5DS0STT1SJQ	A2880Y23V0UITQ	neutral
3M93N4X8HLQ1S7AIWGY5DS0STT1SJQ	A2LHJN7Y7A7J2F	angry
3M93N4X8HLQ1S7AIWGY5DS0STT1SJQ	A1JVUD5XUB9H48	neutral
3E22YV8GG290Y5LBJXM3BUCYFTZPNB	A1T02KY1E9YI3I	neutral
3E22YV8GG290Y5LBJXM3BUCYFTZPNB	A323JR6EQT5Q71	disgust
3E22YV8GG290Y5LBJXM3BUCYFTZPNB	A39HQTITNY9TVJ	angry
3S8A4GJRD465W4CF6S9LFBFU6RC6V4	A1DX7MP76A0RZK	happy
3S8A4GJRD465W4CF6S9LFBFU6RC6V4	A3P2O37EDC1H9V	sad
3S8A4GJRD465W4CF6S9LFBFU6RC6V4	A1QR2AQ7I9R950	happy
3YLTXLH3DG98O9Z0GZRQ6AF2THQPH2	A681XM15AN28F	sad
